,hs4_name
Motor_cars_and_other_motor_vehicles_principally_designed_for_the_transport_of_persons_(other_than_those_of_heading_87.02)__including_station_wagons_and_racing_cars,2046
Instruments_and_appliances_used_in_medical__surgical__dental_or_veterinary_sciences__including_scintigraphic_apparatus__other_electro-medical_apparatus_and_sight-testing_instruments,1831
Parts_and_accessories_of_the_motor_vehicles_of_headings_87.01_to_87.05,1784
Transmission_shafts_(including_cam_shafts_and_crank_shafts)_and_cranks;_bearing_housings_and_plain_shaft_bearings;_gears_and_gearing;_ball_or_roller_screws;_gear_boxes_and_other_speed_changers__including_torque_converters;_flywheels_and_pulleys__including_pulley_blocks;_clutches_and_shaft_couplings_(including_universal_joints),1364
Pumps_for_liquids__whether_or_not_fitted_with_a_measuring_device;_liquid_elevators.,1266
Motor_vehicles_for_the_transport_of_goods,1245
Air_or_vacuum_pumps__air_or_other_gas_compressors_and_fans;_ventilating_or_recycling_hoods_incorporating_a_fan__whether_or_not_fitted_with_filters.,1113
Interchangeable_tools_for_hand_tools__whether_or_not_power-operated__or_for_machine-tools_(for_example__for_pressing__stamping__punching__tapping__threading__drilling__boring__broaching__milling__turning_or_screw_driving)__including_dies_for_drawing_or_extruding_metal__and_rock_drilling_or_earth_boring_tools.,1095
Woven_fabrics_of_synthetic_filament_yarn__including_woven_fabrics_obtained_from_materials_of_heading_54.04.,1040
Taps__cocks__valves_and_similar_appliances_for_pipes__boiler_shells__tanks__vats_or_the_like__including_pressure-reducing_valves_and_thermostatically_controlled_valves,1019
Electric_motors_and_generators(excluding_generating_sets),985
Woven_fabrics_of_cotton__containing_85_%_or_more_by_weight_of_cotton__weighing_not_more_than_200_g/m2.,954
Screws__bolts__nuts__coach_screws__screw_hooks__rivets__cotters__cotter-pins__washers_(including_spring_washers)_and_similar_articles__of_iron_or_steel,940
Electrical_apparatus_for_switching_or_protecting_electrical_circuits__or_for_making_connections_to_or_in_electrical_circuits_(for_example__switches__relays__fuses__surge_suppressors__plugs__sockets__lamp-holders_and_other_connectors__junction_boxes)__for_a_voltage_not_exceeding_1_000_volts;_connectors_for_optical_fibres__optical_fibre_bundles_or_cables,909
Insulated_(including_enamelled_or_anodised)_wire__cable_(including_co-axial_cable)_and_other_insulated_electric_conductors__whether_or_not_fitted_with_connectors;_optical_fibre_cables__made_up_of_individually_sheathed_fibres__whether_or_not_assembled_with_electric_conductors_or_fitted_with_connectors,869
Ball_or_roller_bearings,869
Centrifuges__including_centrifugal_dryers;_filtering_or_purifying_machinery_and_apparatus__for_liquids_or_gases.,816
Instruments_and_apparatus_for_physical_or_chemical_analysis_(for_example__polarimeters__refractometers__spectrometers__gas_or_smoke_analysis_apparatus);_instruments_and_apparatus_for_measuring_or_checking_viscosity__porosity__expansion__surface_tension_or_the_like;_instruments_and_apparatus_for_measuring_or_checking_quantities_of_heat__sound_or_light_(including_exposure_meters);_microtomes,800
Electrical_ignition_or_starting_equipment_of_a_kind_used_for_spark-ignition_or_compression-ignition_internal_combustion_engines_(for_example__ignition_magnetos__magneto-dynamos__ignition_coils__sparking_plugs_and_glow_plugs__starter_motors);_generators_(for_example__dynamos__alternators)_and_cut-outs_of_a_kind_used_in_conjunction_with_such_engines,797
Tools_for_working_in_the_hand__pneumatic__hydraulic_or_with_self-contained_electric_or_non-electric_motor,790
